Pathway Number,Broad pathway description,Subpathway,Steps,,,,,
1,Sulfate Assimilation,1,"1,4,6,8",,,,,
1,Sulfate Assimilation,2,"1,4,6,9",,,,,
1,Sulfate Assimilation,3,"2,5,6,8",,,,,
1,Sulfate Assimilation,4,"3,5,6,8",,,,,
1,Sulfate Assimilation,5,"2,5,6,9",,,,,
1,Sulfate Assimilation,6,"3,5,6,9",,,,,
1,Sulfate Assimilation,7,"1,7,9",,,,,
1,Sulfate Assimilation,8,"3,7,9",,,,,
1,Sulfate Assimilation,9,"2,7,9",,,,,
2,Cysteine Biosynthesis,1,"1,2",,,,,
2,Cysteine Biosynthesis,2,"3,5",,,,,
2,Cysteine Biosynthesis,3,"6,7,8,9,4,5",,,,,
,Cysteine Biosynthesis,,"10,11,12",,,,,
,Cysteine Biosynthesis,,"13,14",,,,,
2,Cysteine Biosynthesis,4,"1,15",,,,,
2,Cysteine Biosynthesis,5,"16,17",,,,,
2,Cysteine Biosynthesis,6,"18,19,17",,,,,
3,SO4thiosulfate transporter,1,1,,,,,
4,Methionine Synthesis,1,"1,2,3,4",4,4.166666667,,,
4,Methionine Synthesis,2,"5,13,3,4",4,,,,
4,Methionine Synthesis,3,"7,8,4",3,,,,
4,Methionine Synthesis,4,"10,11,12,4",4,,,,
4,Methionine Synthesis,5,"7,2,3,4",4,,,,
4,Methionine Synthesis,6,"10,11,14,7,8,4",6,,,,
5,Methionine Transport,1,1,,,,,
6,Cysteine Degradation,1,"1,2",,,,,
6,Cysteine Degradation,2,3,,,,,
6,Cysteine Degradation,3,4,,,,,
6,Cysteine Degradation,4,5,,,,,
7,Methionine Degradation,1,"1,2,3",,,,,
8,Methionine Salvage Part 1,1,"1,2,3,6,7",,,,,
8,Methionine Salvage Part 1,2,"1,2,3,4,5,7",,,,,
9,Methionine Salvage Part 2,1,"1,4,5,6",,,,,
9,Methionine Salvage Part 2,2,"1,2,3,5,6",,,,,
10,Methionine Salvage Fusion Enzyme,1,"1,2",,,,,
11,Methionine Salvage Anaerobic Isoprenoid Shunt,1,"1,2,3",,,,,
12,Methionine Salvage Anaerobic Degradation of MTRu1P,1,1,,,,,
13,Methionine - N-Acyl-L-homoserine lactone,1,1,,,,,
14,Glutathione Synthesis,1,"1,2",,,,,
15,Glutathione Transporter,1,1,,,,,
16,DHPS Transporter,1,1,,,,,
17,DHPS Degradation,1,1,,,,,
18,DMSP degradation,1,1,,,,,
18,DMSP degradation,2,2,,,,,
18,DMSP degradation,3,3,,,,,
18,DMSP degradation,4,4,,,,,
18,DMSP degradation,5,5,,,,,
18,DMSP degradation,6,6,,,,,
18,DMSP degradation,7,7,,,,,
19,Taurine Transport,1,1,,,,,
20,Taurine Degradation,1,1,,,,,
20,Taurine Degradation,2,2,,,,,
21,Hypotaurine Degradation,1,1,,,,,
21,Hypotaurine Degradation,2,2,,,,,
,Isethionate Degradation,1,1,,,,,
22,Isethionate Transport,1,1,,,,,
23,N-acetyltaurine Transport,1,1,,,,,
,N-acetyltaurine Degradation,1,1,,,,,
,DOS Misc Degradation,1,1,,,,,
24,DOS Misc Degradation 2,1,1,,,,,
25,DOS Misc Degradation 3,1,1,,,,,
26,DOS Misc Degradation 4,1,1,,,,,
27,Choline-O-sulfate Degradation,1,"1,2,3",,,,,
28,Choline-O-sulfate Transport,1,1,,,,,
,,,,,,,,
29,Cysteate Degradation,1,1,,,,,
29,Cysteate Degradation,2,2,,,,,
,Cysteate Transport,1,1,,,,,
,Homoglutathione Synthesis,1,"1,2",,,,,
,Thiamine Transport,1,1,,,,,
,Thiamine Synthesis,1,"1,2,3,4,5,6,7,8,9,10,13",,,,,
,Thiamine Synthesis,2,"1,2,3,4,5,6,7,8,9,12",,,,,
,Thiamine Synthesis,3,"1,2,11,9,10,13",,,,,
,Thiamine Synthesis,4,"1,2,11,9,12",,,,,
30,Biotin Transport,1,1,,,,,
31,Biotin Degradation,1,1,,,,,
31,Biotin Degradation,2,2,,,,,
32,Coenzyme A Degradation,1,1,,,,,
,Coenzyme A Transport,1,1,,,,,
33,Methanethiol Degradation,1,1,,,,,
33,Methanethiol Degradation,2,2,,,,,
34,Methanethiol Synthesis,1,1,,,,,
34,Methanethiol Synthesis,2,2,,,,,
34,Methanethiol Synthesis,3,3,,,,,
35,3-Mercaptopyruvate Degradation,1,1,,,,,
,3-Mercaptopyruvate Synthesis,1,1,,,,,
,Glutathione disulfide transport,1,1,,,,,
36,Glutathione disulfide degradation and synthesis,1,1,,,,,
37,Dimethylsulfoxide Degradation,1,1,,,,,
38,Dimethylsulfone Degradation,1,1,,,,,
,Methanesulfonate Transport,1,1,,,,,
39,Methanesulfonate Degradation,1,1,,,,,
39,Methanesulfonate Degradation,2,2,,,,,
40,Sulfolactate degradation,1,1,,,,,
,Sulfolactate degradation,2,"2,3",,,,,
,Sulfolactate degradation,3,"4,5,6,7",,,,,
,Sulfolactate degradation,4,"8,9",,,,,
,Sulfolactate Transport,1,1,,,,,
41,Sulfopyruvate Degradation,1,1,,,,,
41,Sulfopyruvate Degradation,2,2,,,,,
,Sulfopyruvate Degradation,3,"6,7",,,,,
42,Sulfoacetaldehyde Degradation,1,1,,,,,
43,S-adenosyl-L-homocysteine degradation,1,1,,,,,
,SQDG membrane sulfolipids synthesis,1,"1,2",,,,,
44,Bisulfite and Sulfite exporter,1,1,,,,,